year,calendar_year,population_size,birth_count,births_per_population,births_per_eligible,births_per_matched_pair,death_count,matched_pair_count,new_pair_count,active_pair_count,unmatched_rate,mean_visible_candidate_count,median_visible_candidate_count,mean_perceived_candidate_count,median_perceived_candidate_count,mean_actionable_candidate_count,action_coverage_rate,visibility_action_gap,mean_selected_actionable_share,mean_selection_quota,mean_selection_acceptance_share,mean_phantom_candidate_count,mean_sampled_phantom_candidate_count,mean_selected_phantom_count,mean_phantom_selection_share,candidate_pool_multiplier,visibility_coverage_rate,theoretical_area_coverage,effective_birth_probability,selection_worker_count,action_radius,blocked_mutual_pair_count,trait_mean,trait_variance,trait_diversity,reproductive_concentration,effective_parent_count,visibility_radius
1,1980,2547,47,0.018453,0.044677,0.094758,0,496,6,525,0.057034,0.318182,0.0,0.318182,0.0,0.318182,0.0074,0.0,0.295455,0.318182,0.295455,0.0,0.0,0.0,0.0,1.0,0.0074,0.001257,0.086667,1,0.12,0,0.000912,0.980656,2.214335,0.966101,86.627451,0.02
2,1981,2555,39,0.015264,0.036967,0.084967,31,459,45,518,0.129858,1.029586,1.0,1.029586,1.0,1.029586,0.006128,0.0,0.585799,1.029586,0.585799,0.0,0.0,0.0,0.0,1.0,0.006128,0.001257,0.086453,1,0.12,0,0.002371,0.975873,2.208928,0.972442,70.744186,0.02
3,1982,2563,34,0.013266,0.032536,0.078704,26,432,39,527,0.173206,0.769231,1.0,0.769231,1.0,0.769231,0.004579,0.0,0.502959,0.769231,0.502959,0.0,0.0,0.0,0.0,1.0,0.004579,0.001257,0.08628,1,0.12,0,0.003407,0.965936,2.197653,0.974983,64.222222,0.02
4,1983,2568,38,0.014798,0.03626,0.091566,33,415,38,533,0.208015,0.852459,1.0,0.852459,1.0,0.852459,0.004684,0.0,0.519126,0.852459,0.519126,0.0,0.0,0.0,0.0,1.0,0.004684,0.001257,0.086267,1,0.12,0,0.005579,0.961916,2.193076,0.973356,68.761905,0.02
5,1984,2581,30,0.011623,0.028544,0.072816,17,412,57,546,0.215985,1.395349,1.0,1.395349,1.0,1.395349,0.00652,0.0,0.613953,1.395349,0.613953,0.0,0.0,0.0,0.0,1.0,0.00652,0.001257,0.085987,1,0.12,0,0.006329,0.955052,2.185237,0.978251,56.25,0.02
6,1985,2584,34,0.013158,0.032567,0.085213,31,399,50,554,0.235632,0.99,1.0,0.99,1.0,0.99,0.004975,0.0,0.565,0.99,0.565,0.0,0.0,0.0,0.0,1.0,0.004975,0.001257,0.086,1,0.12,0,0.005581,0.948779,2.178048,0.976598,60.842105,0.02
7,1986,2594,31,0.011951,0.029722,0.079897,21,388,29,556,0.255992,0.643275,0.0,0.643275,0.0,0.643275,0.003784,0.0,0.385965,0.643275,0.385965,0.0,0.0,0.0,0.0,1.0,0.003784,0.001257,0.085827,1,0.12,0,0.00663,0.943527,2.172012,0.977591,58.242424,0.02
8,1987,2604,26,0.009985,0.024738,0.066496,16,391,44,566,0.255947,0.896552,1.0,0.896552,1.0,0.896552,0.004438,0.0,0.507389,0.896552,0.507389,0.0,0.0,0.0,0.0,1.0,0.004438,0.001257,0.085627,1,0.12,0,0.006665,0.936321,2.163702,0.980031,52.0,0.02
9,1988,2603,26,0.009988,0.025169,0.069149,27,376,27,567,0.272023,0.682081,0.0,0.682081,0.0,0.682081,0.003966,0.0,0.369942,0.682081,0.369942,0.0,0.0,0.0,0.0,1.0,0.003966,0.001257,0.08564,1,0.12,0,0.006788,0.932784,2.159611,0.980023,52.0,0.02
10,1989,2614,34,0.013007,0.033268,0.093664,23,363,29,574,0.289628,0.571429,0.0,0.571429,0.0,0.571429,0.003284,0.0,0.382857,0.571429,0.382857,0.0,0.0,0.0,0.0,1.0,0.003284,0.001257,0.0856,1,0.12,0,0.007113,0.925517,2.151182,0.978172,57.8,0.02
11,1990,2626,34,0.012947,0.033236,0.093664,22,363,37,583,0.290323,0.684492,0.0,0.684492,0.0,0.684492,0.00368,0.0,0.44385,0.684492,0.44385,0.0,0.0,0.0,0.0,1.0,0.00368,0.001257,0.08544,1,0.12,0,0.006634,0.920612,2.145475,0.975584,64.222222,0.02
12,1991,2643,38,0.014378,0.037549,0.109195,21,348,33,584,0.312253,0.67027,0.0,0.67027,0.0,0.67027,0.003643,0.0,0.427027,0.67027,0.427027,0.0,0.0,0.0,0.0,1.0,0.003643,0.001257,0.085267,1,0.12,0,0.006799,0.915134,2.139081,0.975427,65.636364,0.02
13,1992,2647,24,0.009067,0.023506,0.067227,20,357,40,599,0.300686,0.841026,0.0,0.841026,0.0,0.841026,0.004335,0.0,0.487179,0.841026,0.487179,0.0,0.0,0.0,0.0,1.0,0.004335,0.001257,0.085027,1,0.12,0,0.007539,0.910255,2.133372,0.985833,38.4,0.02
14,1993,2672,39,0.014596,0.038012,0.110169,14,354,34,598,0.309942,0.642105,0.0,0.642106,0.0,0.642105,0.003397,0.0,0.405263,0.642105,0.405263,0.0,0.0,0.0,0.0,1.000001,0.003397,0.001257,0.084893,1,0.12,0,0.006013,0.903511,2.125454,0.974954,67.6,0.02
15,1994,2685,32,0.011918,0.031527,0.094118,19,340,25,594,0.330049,0.596685,0.0,0.596686,0.0,0.596685,0.003315,0.0,0.370166,0.596685,0.370165,0.0,0.0,0.0,0.0,1.000002,0.003315,0.001257,0.084627,1,0.12,0,0.006044,0.897403,2.118258,0.976164,64.0,0.02
16,1995,2693,31,0.011511,0.030333,0.088825,23,349,35,600,0.317025,0.731959,0.0,0.731963,0.0,0.731959,0.003793,0.0,0.427835,0.731959,0.427832,0.0,0.0,0.0,0.0,1.000006,0.003793,0.001257,0.084507,1,0.12,0,0.005769,0.892753,2.112763,0.981002,51.945946,0.020002
17,1996,2699,27,0.010004,0.026316,0.078261,21,345,33,599,0.327485,0.705314,0.0,0.705328,0.0,0.705314,0.003424,0.0,0.362319,0.705314,0.362312,0.0,0.0,0.0,0.0,1.00002,0.003424,0.001257,0.084373,1,0.12,0,0.007149,0.888385,2.107588,0.98142,50.275862,0.020005
18,1997,2706,25,0.009239,0.024462,0.073529,18,340,28,602,0.334638,0.515152,0.0,0.515183,0.0,0.515152,0.002615,0.0,0.343434,0.515152,0.343413,0.0,0.0,0.0,0.0,1.000062,0.002615,0.001259,0.084253,1,0.12,0,0.007919,0.884954,2.103514,0.985425,40.322581,0.020015
